imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3540136,,Wolf Warrior (2015),,,,,,,,,,"$81,273,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3322364,,Concussion (2015),"$134,593","$212,127","$134,893","$98,614","$66,104",,"$333,981",,"$38,994",,"$138,387",,,,,"$166,413","$153,739","$8,458","$5,865",,"$732,185","$665,660","$5,012",,"$165,846",,"$7,864",,,"$1,709,943",,"$44,009","$15,974","$16,447","$79,627","$21,974",,"$4,464,162",,"$73,439","$71,441",,"$38,000","$59,442",,"$192,464","$43,754","$121,893","$130,822",,,"$71,632",,,"$173,472",,"$1,732,654",,,,"$270,861","$166,398",,,"$639,746","$162,499","$46,069","$53,651",
2814362,,United Passions (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$167,914","$2,990",,,,,,,,,,,,,,,,,,
2452042,,The Peanuts Movie (2015),"$1,324,419","$5,566,418","$1,443,827","$166,820","$956,995","$511,807","$7,944,690","$68,240","$1,411,375","$5,702,428","$881,865","$232,026","$224,141","$852,855",,"$1,561,713",,,,"$1,186,894","$5,184,352","$9,672,216",,"$408,051","$2,159,483","$202,919","$62,680",,"$455,021","$2,842,638","$5,170,243",,"$4,818","$99,941","$169,429","$191,970","$477,072","$7,825,529","$1,957,846","$837,047",,"$455,466","$39,769","$1,527,617",,"$1,096,873","$770,468","$143,523","$227,271","$1,400,596","$139,874","$803,021","$94,144","$83,732","$539,012","$1,219,202","$4,782,782","$1,344,012","$436,417","$808,655","$1,380,612","$278,679","$589,576","$80,272","$716,787","$13,886,795","$110,658","$4,096,546","$365,249"
1249415,,OceanWorld (2009),,,,,"$71,727",,,"$40,948",,,,"$13,509","$381,023",,,,,"$107,748",,,"$312,797",,,"$47,523",,,,,,"$3,297,162",,,,"$130,857","$64,713","$217,060",,,,,,,,,,"$374,538",,,,"$1,121,347","$34,786",,"$60,059",,,"$1,174,633","$938,228",,,,,,"$224,464",,"$54,129",,,,
1266037,,A Distant Neighbourhood (2010),,,"$6,532",,"$31,488",,,,,,,,,,,,,,,,"$78,593","$86,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,171",,,,,,,,,,,,,,,,,,,
3997238,,Do I Sound Gay? (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,207",,,
2474976,,The Hallow (2015),,,,,,,,,"$44,493",,"$135,709",,,,,,,,,,"$129,403",$208,,,,,,,,,,,,,,,"$179,973","$745,975",,,,,,"$287,976","$39,361",,,,,"$140,422",,,,,,,,,,,,,,,,"$144,981",,,
4272866,,The Boy and the Beast (2015),"$29,466","$66,261",,,,,,,,,,,,,"$490,643",,,,,"$13,542","$308,416",,,,"$47,207",,,,,,"$46,863,971",,,,"$2,257",,,,,"$12,178",,,$218,,,,,,,"$66,612",,,,,,"$1,396,332","$36,875",,,,"$400,801","$14,311",,,"$31,900",,,,
1594534,,Traceless (2010),,,,,"$27,464",,,,,,,,,,,,,,,,"$445,565",,,,,,,,,,,,,,,,,"$32,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
